,lstm_vol,gru_vol,prophet_vol,mean_vol
2023-05-09 00:00:00,54770303.88202667,36374794.67065036,155828238.46481162,82324445.67249621
2023-05-10 00:00:00,54476960.3890419,36394959.4542712,154223476.67538363,81698465.50623225
2023-05-11 00:00:00,54253237.44302988,36431037.25499511,157586035.5713053,82756770.08977677
2023-05-12 00:00:00,54090818.41313839,36511484.70468521,159029957.57645994,83210753.56476118
2023-05-13 00:00:00,53976254.60304022,36655636.36952937,194560368.93784904,95064086.6368062
2023-05-14 00:00:00,53894639.27285671,36861394.50485706,195620451.8541217,95458828.54394515
2023-05-15 00:00:00,53832486.55234575,37109040.93033075,165511836.65772423,85484454.71346691
